motif	num_nodes	erdos_p	num_nodes	mean
2	200	3	0	8
3	200	3	106	99
4	200	3	0	0
5	200	3	0	0
6	200	3	0	2
7	200	3	0	1
8	200	3	0	0
9	200	3	1612	1755
10	200	3	0	0
11	200	3	0	26
12	200	3	0	98
13	200	3	592	884
1	200	3	2871	3152
2	200	3	0	8
3	200	3	107	94
4	200	3	0	0
5	200	3	0	0
6	200	3	0	2
7	200	3	0	1
8	200	3	0	0
9	200	3	1647	1755
10	200	3	0	0
11	200	3	0	26
12	200	3	0	94
13	200	3	592	884
1	200	3	2933	3213
2	200	3	0	8
3	200	3	110	96
4	200	3	0	0
5	200	3	0	0
6	200	3	0	2
7	200	3	0	1
8	200	3	0	0
9	200	3	1641	1755
10	200	3	0	0
11	200	3	0	26
12	200	3	0	95
13	200	3	592	884
1	200	3	2806	3087
2	200	3	0	8
3	200	3	101	92
4	200	3	0	0
5	200	3	0	0
6	200	3	0	2
7	200	3	0	1
8	200	3	0	0
9	200	3	1664	1755
10	200	3	0	0
11	200	3	0	26
12	200	3	0	92
13	200	3	592	884
1	200	3	9534	9781
2	200	3	0	8
3	200	3	258	294
4	200	3	0	0
5	200	3	0	2
6	200	3	0	24
7	200	3	0	4
8	200	3	0	0
9	200	3	1390	1755
10	200	3	0	2
11	200	3	0	26
12	200	3	0	291
13	200	3	592	884
1	200	3	10873	11113
2	200	3	0	8
3	200	3	301	334
4	200	3	0	0
5	200	3	0	2
6	200	3	0	31
7	200	3	0	4
8	200	3	0	0
9	200	3	1398	1755
10	200	3	0	2
11	200	3	0	26
12	200	3	0	331
13	200	3	592	884
1	200	3	10366	10609
2	200	3	0	8
3	200	3	276	319
4	200	3	0	0
5	200	3	0	2
6	200	3	0	28
7	200	3	0	4
8	200	3	0	0
9	200	3	1335	1755
10	200	3	0	2
11	200	3	0	26
12	200	3	0	316
13	200	3	592	884
1	200	3	9918	10163
2	200	3	0	8
3	200	3	250	305
4	200	3	0	0
5	200	3	0	2
6	200	3	0	26
7	200	3	0	4
8	200	3	0	0
9	200	3	1325	1755
10	200	3	0	2
11	200	3	0	26
12	200	3	0	303
13	200	3	592	884
1	200	3	40831	40921
2	200	3	0	8
3	200	3	559	1231
4	200	3	0	1
5	200	3	0	9
6	200	3	0	428
7	200	3	0	18
8	200	3	0	12
9	200	3	778	1755
10	200	3	0	9
11	200	3	0	26
12	200	3	0	1221
13	200	3	592	884
1	200	3	35884	35999
2	200	3	0	8
3	200	3	556	1082
4	200	3	0	1
5	200	3	0	8
6	200	3	0	331
7	200	3	0	16
8	200	3	0	9
9	200	3	840	1755
10	200	3	0	8
11	200	3	0	26
12	200	3	0	1074
13	200	3	592	884
1	200	3	40248	40341
2	200	3	0	8
3	200	3	540	1213
4	200	3	0	1
5	200	3	0	9
6	200	3	0	416
7	200	3	0	18
8	200	3	0	12
9	200	3	785	1755
10	200	3	0	9
11	200	3	0	26
12	200	3	0	1204
13	200	3	592	884
1	200	3	33349	33476
2	200	3	0	8
3	200	3	502	1007
4	200	3	0	0
5	200	3	0	7
6	200	3	0	286
7	200	3	0	15
8	200	3	0	8
9	200	3	899	1755
10	200	3	0	7
11	200	3	0	26
12	200	3	0	999
13	200	3	592	884
1	200	6	10758	11290
2	200	6	0	68
3	200	6	843	677
4	200	6	0	0
5	200	6	0	10
6	200	6	0	32
7	200	6	0	20
8	200	6	0	1
9	200	6	6264	6915
10	200	6	0	10
11	200	6	0	207
12	200	6	0	668
13	200	6	2930	3501
1	200	6	10922	11453
2	200	6	0	68
3	200	6	839	687
4	200	6	0	0
5	200	6	0	10
6	200	6	0	33
7	200	6	0	20
8	200	6	0	2
9	200	6	6219	6915
10	200	6	0	10
11	200	6	0	207
12	200	6	0	678
13	200	6	2930	3501
1	200	6	11557	12085
2	200	6	0	68
3	200	6	904	725
4	200	6	0	0
5	200	6	0	10
6	200	6	0	37
